Id;Label;Type;Occurrences Count;ID (type 1);Luxembourg Subsidiaries (type 1);Time Interval;Node Color Multimode;Investment
company_ac31b142cb6d1b3a5401c0eaa50884e0;2pct;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2009.0, 2010.0, 1]>;<[2009.0, 2010.0, 2pct.lu]>;<[2009.0, 2010.0]>;red;0
company_30c35cfe06bad14ad455c018cda9b561;3i;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 3]>;"<[2009.0, 2010.0, 2); [2010.0, 2011.0, 3 | 4]>";"<[2009.0, 2010.0, ""Mold-Masters Luxembourg Holdings S.à.r.l.; Mold Masters Luxembourg Acquisitions S.à.r.l.""); [2010.0, 2011.0, ""Mold-Masters Luxembourg Acquisitions S.à.r.l.;Mold-Masters Luxembourg Holdings S.à.r.l.""]>";"<[2009.0, 2010.0]; [2010.0, 2011.0]>";red;0
company_0ef54a53ee3e0831f571604c6450f160;abbott laboratories;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 2]>;<[2009.0, 2010.0, 5 | 6]>;"<[2009.0, 2010.0, ""Abbott Investments Luxembourg S.à.r.l.; Abbott International Luxembourg S.à.r.l. | Abbott Investments Luxembourg S.à.r.l.;Abbott Overseas Luxembourg S.à.r.l.;Abbott International Luxembourg S.à.r.l.;Abbott Holding Subsidiary (Gibraltar) Limited Luxembourg S.C.S.""]>";<[2009.0, 2010.0]>;red;47569340000
company_9db7fee19267c4cb827134133a0aa279;abn amro group;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2009.0, 2010.0, 7]>;"<[2009.0, 2010.0, ""ABN Amro Bank (Luxembourg) S.A.;RBS Global Banking (Luxembourg) S.A.;Lux-Irl Investments No 1 S.A.""]>";<[2009.0, 2010.0]>;red;0
company_9faa6b81ec71807f0f721a30c0270af6;abris cee mid-market fund;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2008.0, 2009.0, 8]>;<[2008.0, 2009.0, Alu Holdings S.à.r.l.]>;<[2008.0, 2009.0]>;red;0
company_7fb7615d5642998c6cb42ffac705b74f;abry;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2009.0, 2010.0, 9]>;"<[2009.0, 2010.0, ""Q9 Luxembourg S.à.r.l.;Q9 Networks S.à.r.l.""]>";<[2009.0, 2010.0]>;red;0
company_5839d299a90ed276d1a3252219cbaa46;abs - cbn;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2009.0, 2010.0, 10]>;<[2009.0, 2010.0, ABS-CBN Global Hungary Kft - Luxembourg Branch]>;<[2009.0, 2010.0]>;red;48730000
company_0eced006312e6d800c4c1b120ab1559e;abu dhabi investment authority;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2010.0, 2011.0, 11]>;"<[2010.0, 2011.0, ""Tamweelview European Holdings S.A.;PHR Investments S.à.r.l.""]>";<[2010.0, 2011.0]>;red;4722380
company_bc84f93b2685453ccb2a68dd5f305959;accent jobs;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2009.0, 2010.0, 522]>;"<[2009.0, 2010.0, ""H.R.M. Software & IT S.à.r.l.; Accent Jobs For People S.à.r.l.""]>";<[2009.0, 2010.0]>;red;0
company_e96a479c49f59f0f9e66875d0d856ab6;accenture;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 4]>;"<[2009.0, 2010.0, 12 | 13); [2010.0, 2011.0, 14 | 15]>";"<[2009.0, 2010.0, ""Accenture S.C.A. | Accenture S.C.A.; Accenture International S.à.r.l.""); [2010.0, 2011.0, Accenture International S.à.r.l. | Accenture S.C.A.]>";"<[2009.0, 2010.0]; [2010.0, 2011.0]>";red;0
company_ace85d46a737e2d9cd7b1aec9046857f;ace group;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2010.0, 2011.0, 16]>;"<[2010.0, 2011.0, ""Samisa S.à.r.l. (Luxembourg); Ace Investment Scandinavia BV (Netherlands)""]>";<[2010.0, 2011.0]>;red;0
company_08b8fa182572a43e36d640f330eb72a2;acergy;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 3]>;<[2010.0, 2011.0, 17 | 18 | 19]>;<[2010.0, 2011.0, Acergy S.A.]>;<[2010.0, 2011.0]>;red;265800000
company_29986710f70c1937ad771480eb5e013b;advent international (acee4);<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2010.0, 2011.0, 20]>;"<[2010.0, 2011.0, ""Advent Libri (Luxembourg) Holding S.à.r.l.;AI Global Investments S.à.r.l.;Advent Libri (Luxembourg)S.à.r.l.""]>";<[2010.0, 2011.0]>;red;103000000
company_8cb8ea7756cd964b4b544a225db2e3f7;aea investors;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2010.0, 2011.0, 21]>;<[2010.0, 2011.0, LSP Holding S.à.r.l.]>;<[2010.0, 2011.0]>;red;64200000
company_70c19cfcacd242d63d015678442141c4;agemar;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2008.0, 2009.0, 40]>;"<[2008.0, 2009.0, ""Agemar S.A.;Vedihold S.A.;Pharmahold S.A.""]>";<[2008.0, 2009.0]>;red;0
company_239cdb881d55a19c6fbbc086f86e4bcc;ahw;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 2]>;<[2009.0, 2010.0, 22 | 23]>;<[2009.0, 2010.0, Timberland Capital Management S.C.S. | Timberland Capital S.à.r.l.]>;<[2009.0, 2010.0]>;red;0
company_4d1454b369b731e0b7c3774f2fa462ec;aig / lincoln;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2010.0, 2011.0, 24]>;"<[2010.0, 2011.0, ""AIG/Lincoln Western Europe (Luxembourg) S.à.r.l.""]>";<[2010.0, 2011.0]>;red;0
company_bcabd4a46942fa273ceba8f54f0d06b2;aig global real estate investment corporation;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 4]>;"<[2009.0, 2010.0, 25 | 554 | 555); [2010.0, 2011.0, 26]>";"<[2009.0, 2010.0, ""AIG Europe II Holdings S.à.r.l.; AIGGRE Sporta S.à.r.l.; AIGGRE Opus Holding S.à.r.l.; AIGGRE Helsinki S.à.r.l.; AIG Hospitality Holdings S.à.r.l.; Kenavon Drive Holding II S.à.r.l.; Kenavon Drive Holding S.à.r.l.; NELFAIG S.à.r.l.; Julienne S.à.r.l. | AIG Europe II Holdings S.à.r.l.; AIGGRE Sporta S.à.r.l.; AIGGRE Opus Holding S.à.r.l.; AIGGRE Helsinki S.à.r.l.; Hospitality Holdings S.à.r.l.; NELFAIG S.à.r.l. | Hamburg Residential Project Am Stadtpark Holdings S.à.r.l.;Stadtpark 1.0 S.C.S.;Stadtpark 1.2 S.C.S.;Stadtpark 1.3 S.C.S.;Stadtpark 1.4 S.C.S.;Stadtpark 1.5 S.C.S.;Stadtpark 1.6 S.C.S.;Stadtpark 1.7 S.C.S.;Stadtpark 2.3 S.C.S.;Stadtpark 2.4 S.C.S.;Stadtpark 2.5 S.C.S.;Stadtpark 2.6 S.C.S.;Stadtpark  2.7 S.C.S.""); [2010.0, 2011.0, Aire Investments S.à.r.l.]>";"<[2009.0, 2010.0]; [2010.0, 2011.0]>";red;38800000
company_5607b8e8492a70474d5d350ec9f65743;alexander eriksen;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2009.0, 2010.0, 27]>;"<[2009.0, 2010.0, ""Mermaid Lagoon S.à.r.l.;Ifocus S.à.r.l.""]>";<[2009.0, 2010.0]>;red;0
company_ba7dacdb8974f9e0cfb9acaed89422e9;alfa group consortium / abh;<[-Infinity, Infinity, Company]>;<[-Infinity, Infinity, 1]>;<[2010.0, 2011.0, 28]>;<[2010.0, 2011.0, ABH Holdings S.A.]>;<[2010.0, 2011.0]>;red;0
