Source,Target,Type,Id,Label,Weight,Matchings Count,Time Interval
company_ac31b142cb6d1b3a5401c0eaa50884e0,countries_068b83b0839d8cff627bd91fdc8059fb,Undirected,495,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_30c35cfe06bad14ad455c018cda9b561,countries_6cd0c266688a7a579874167d67c74a66,Undirected,496,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_30c35cfe06bad14ad455c018cda9b561,countries_c2aadac2ca30ca8aadfbe331ae180d28,Undirected,497,,1.0,"<[-Infinity, Infinity, 2]>","<[2010.0, 2011.0]>"
company_30c35cfe06bad14ad455c018cda9b561,countries_28ef36b35ae8cb1f542578f03408b512,Undirected,498,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_30c35cfe06bad14ad455c018cda9b561,countries_db1e8c642c52e48e501a16b5783bf4ae,Undirected,499,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_30c35cfe06bad14ad455c018cda9b561,countries_578ed5a4eecf5a15803abdc49f6152d6,Undirected,500,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_30c35cfe06bad14ad455c018cda9b561,countries_9cdc126f68260cbddf3a00a4032f0e7e,Undirected,501,,1.0,"<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_30c35cfe06bad14ad455c018cda9b561,countries_152649df347ee2891a9eacc883e07d17,Undirected,502,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_0ef54a53ee3e0831f571604c6450f160,countries_152649df347ee2891a9eacc883e07d17,Undirected,503,,1.0,"<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0]>"
company_9db7fee19267c4cb827134133a0aa279,countries_6123486432d21179f354b970b501e518,Undirected,504,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_9faa6b81ec71807f0f721a30c0270af6,countries_6f08c5ddcdd0be06d83aa3e0e3d5a09e,Undirected,505,,1.0,"<[-Infinity, Infinity, 1]>","<[2008.0, 2009.0]>"
company_9faa6b81ec71807f0f721a30c0270af6,countries_b9dd78edd96622ffec15c49c2d0f6e5a,Undirected,506,,1.0,"<[-Infinity, Infinity, 1]>","<[2008.0, 2009.0]>"
company_7fb7615d5642998c6cb42ffac705b74f,countries_c2aadac2ca30ca8aadfbe331ae180d28,Undirected,507,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_7fb7615d5642998c6cb42ffac705b74f,countries_152649df347ee2891a9eacc883e07d17,Undirected,508,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_5839d299a90ed276d1a3252219cbaa46,countries_3b4bbcb747288e1e6ede89221191781d,Undirected,509,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_5839d299a90ed276d1a3252219cbaa46,countries_c894df42aa06fcb0e8e3ff55b71b33fd,Undirected,510,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_0eced006312e6d800c4c1b120ab1559e,countries_1747d4b2dd4bcd666e2df31563d22dbe,Undirected,511,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_0eced006312e6d800c4c1b120ab1559e,countries_8882cbb50c4172662cc0d08a89a4ff29,Undirected,512,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_bc84f93b2685453ccb2a68dd5f305959,countries_73fa01094ea6c89f1f8efbeb57037499,Undirected,513,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_bc84f93b2685453ccb2a68dd5f305959,countries_e165d4f2174b66a7d1a95cb204d296eb,Undirected,514,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_bc84f93b2685453ccb2a68dd5f305959,countries_bab4ac375adad13f5693f24fceab7903,Undirected,515,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_bc84f93b2685453ccb2a68dd5f305959,countries_6123486432d21179f354b970b501e518,Undirected,516,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_bc84f93b2685453ccb2a68dd5f305959,countries_f64a398fc678c17687a4c18476bbd3e8,Undirected,517,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_bc84f93b2685453ccb2a68dd5f305959,countries_1747d4b2dd4bcd666e2df31563d22dbe,Undirected,518,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_e96a479c49f59f0f9e66875d0d856ab6,countries_a66f852274a441f4f9676b070c0c64db,Undirected,519,,1.0,"<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_e96a479c49f59f0f9e66875d0d856ab6,countries_068b83b0839d8cff627bd91fdc8059fb,Undirected,520,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_e96a479c49f59f0f9e66875d0d856ab6,countries_0d9c575f4f0260fe0274b318cd6a9e34,Undirected,521,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_e96a479c49f59f0f9e66875d0d856ab6,countries_152649df347ee2891a9eacc883e07d17,Undirected,522,,1.0,"<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_ace85d46a737e2d9cd7b1aec9046857f,countries_c2aadac2ca30ca8aadfbe331ae180d28,Undirected,523,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_ace85d46a737e2d9cd7b1aec9046857f,countries_6123486432d21179f354b970b501e518,Undirected,524,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_ace85d46a737e2d9cd7b1aec9046857f,countries_1747d4b2dd4bcd666e2df31563d22dbe,Undirected,525,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_ace85d46a737e2d9cd7b1aec9046857f,countries_88e52ee42fd090896f69d0d71e339d94,Undirected,526,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_ace85d46a737e2d9cd7b1aec9046857f,countries_152649df347ee2891a9eacc883e07d17,Undirected,527,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_08b8fa182572a43e36d640f330eb72a2,countries_068b83b0839d8cff627bd91fdc8059fb,Undirected,528,,1.0,"<[-Infinity, Infinity, 3]>","<[2010.0, 2011.0]>"
company_08b8fa182572a43e36d640f330eb72a2,countries_6123486432d21179f354b970b501e518,Undirected,529,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_08b8fa182572a43e36d640f330eb72a2,countries_9cdc126f68260cbddf3a00a4032f0e7e,Undirected,530,,1.0,"<[-Infinity, Infinity, 3]>","<[2010.0, 2011.0]>"
company_29986710f70c1937ad771480eb5e013b,countries_6f08c5ddcdd0be06d83aa3e0e3d5a09e,Undirected,531,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_29986710f70c1937ad771480eb5e013b,countries_152649df347ee2891a9eacc883e07d17,Undirected,532,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_8cb8ea7756cd964b4b544a225db2e3f7,countries_152649df347ee2891a9eacc883e07d17,Undirected,533,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_70c19cfcacd242d63d015678442141c4,countries_73fa01094ea6c89f1f8efbeb57037499,Undirected,534,,1.0,"<[-Infinity, Infinity, 1]>","<[2008.0, 2009.0]>"
company_239cdb881d55a19c6fbbc086f86e4bcc,countries_28ef36b35ae8cb1f542578f03408b512,Undirected,535,,1.0,"<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0]>"
company_4d1454b369b731e0b7c3774f2fa462ec,countries_bab4ac375adad13f5693f24fceab7903,Undirected,536,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_4d1454b369b731e0b7c3774f2fa462ec,countries_1747d4b2dd4bcd666e2df31563d22dbe,Undirected,537,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_4d1454b369b731e0b7c3774f2fa462ec,countries_152649df347ee2891a9eacc883e07d17,Undirected,538,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_bcabd4a46942fa273ceba8f54f0d06b2,countries_73fa01094ea6c89f1f8efbeb57037499,Undirected,539,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_bcabd4a46942fa273ceba8f54f0d06b2,countries_631d44eaa1254ff71a1e11ba021d1266,Undirected,540,,1.0,"<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0]>"
company_bcabd4a46942fa273ceba8f54f0d06b2,countries_28ef36b35ae8cb1f542578f03408b512,Undirected,541,,1.0,"<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0]>"
company_bcabd4a46942fa273ceba8f54f0d06b2,countries_578ed5a4eecf5a15803abdc49f6152d6,Undirected,542,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_bcabd4a46942fa273ceba8f54f0d06b2,countries_fdd7dad88f90fdc707b1b1aae34d9542,Undirected,543,,1.0,"<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0]>"
company_bcabd4a46942fa273ceba8f54f0d06b2,countries_9cdc126f68260cbddf3a00a4032f0e7e,Undirected,544,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_bcabd4a46942fa273ceba8f54f0d06b2,countries_152649df347ee2891a9eacc883e07d17,Undirected,545,,1.0,"<[-Infinity, Infinity, 4]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_5607b8e8492a70474d5d350ec9f65743,countries_e9375700acbb6b42ae4101daa00b0c20,Undirected,546,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_5607b8e8492a70474d5d350ec9f65743,countries_9cdc126f68260cbddf3a00a4032f0e7e,Undirected,547,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_ba7dacdb8974f9e0cfb9acaed89422e9,countries_6d68c7cfe5d1825d6622f3c824f8db8b,Undirected,548,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_ba7dacdb8974f9e0cfb9acaed89422e9,countries_1c625cc86f824660a320d185916e3c55,Undirected,549,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_ba7dacdb8974f9e0cfb9acaed89422e9,countries_9cdc126f68260cbddf3a00a4032f0e7e,Undirected,550,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_26a3a8da010671f89959981d425f6cae,countries_e9375700acbb6b42ae4101daa00b0c20,Undirected,551,,1.0,"<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_26a3a8da010671f89959981d425f6cae,countries_631d44eaa1254ff71a1e11ba021d1266,Undirected,552,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_26a3a8da010671f89959981d425f6cae,countries_88e52ee42fd090896f69d0d71e339d94,Undirected,553,,1.0,"<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_26a3a8da010671f89959981d425f6cae,countries_9cdc126f68260cbddf3a00a4032f0e7e,Undirected,554,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_c039506613a40d4c2c9f532975bc698c,countries_88e52ee42fd090896f69d0d71e339d94,Undirected,555,,1.0,"<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0]>"
company_2d0d4809e6bdb6f4db3e547f27b1873c,countries_d3197fb64e031c6be6a9e2005a2fbe9a,Undirected,556,,1.0,"<[-Infinity, Infinity, 1]>","<[2011.0, 2012.0]>"
company_2d0d4809e6bdb6f4db3e547f27b1873c,countries_0d9c575f4f0260fe0274b318cd6a9e34,Undirected,557,,1.0,"<[-Infinity, Infinity, 1]>","<[2011.0, 2012.0]>"
company_2d0d4809e6bdb6f4db3e547f27b1873c,countries_152649df347ee2891a9eacc883e07d17,Undirected,558,,1.0,"<[-Infinity, Infinity, 6]>","<[2009.0, 2010.0]; [2011.0, 2012.0]>"
company_3ee94704da30c31f9e6f834737d27efc,countries_152649df347ee2891a9eacc883e07d17,Undirected,559,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_46d6a2f97ca5d2111968eea25d77d3e3,countries_19f9730000abcc9fe49e6e9051d109bc,Undirected,560,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_46d6a2f97ca5d2111968eea25d77d3e3,countries_4edfc924721abb774d5447bade86ea5d,Undirected,561,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_46d6a2f97ca5d2111968eea25d77d3e3,countries_6123486432d21179f354b970b501e518,Undirected,562,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_46d6a2f97ca5d2111968eea25d77d3e3,countries_9cdc126f68260cbddf3a00a4032f0e7e,Undirected,563,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_46d6a2f97ca5d2111968eea25d77d3e3,countries_152649df347ee2891a9eacc883e07d17,Undirected,564,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_d8d7022d67739ccea7b7eaa705d3f711,countries_fb2a54d637484c4ca8adb2343237b89f,Undirected,565,,1.0,"<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_d8d7022d67739ccea7b7eaa705d3f711,countries_3b4bbcb747288e1e6ede89221191781d,Undirected,566,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_d8d7022d67739ccea7b7eaa705d3f711,countries_6123486432d21179f354b970b501e518,Undirected,567,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_d8d7022d67739ccea7b7eaa705d3f711,countries_1747d4b2dd4bcd666e2df31563d22dbe,Undirected,568,,1.0,"<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_d8d7022d67739ccea7b7eaa705d3f711,countries_9cdc126f68260cbddf3a00a4032f0e7e,Undirected,569,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_4c6f950cbac127465aee99074983e69b,countries_73fa01094ea6c89f1f8efbeb57037499,Undirected,570,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_4c6f950cbac127465aee99074983e69b,countries_6123486432d21179f354b970b501e518,Undirected,571,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_68f9f484eefe618063355d2f2e548c4e,countries_578ed5a4eecf5a15803abdc49f6152d6,Undirected,572,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_f5083628959c8b3fafa0a0943692f319,countries_9cdc126f68260cbddf3a00a4032f0e7e,Undirected,573,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_c75ee59e999f2b391dac281407f597d3,countries_88e52ee42fd090896f69d0d71e339d94,Undirected,575,,1.0,"<[-Infinity, Infinity, 1]>","<[2007.0, 2008.0]>"
company_c75ee59e999f2b391dac281407f597d3,countries_9cdc126f68260cbddf3a00a4032f0e7e,Undirected,576,,1.0,"<[-Infinity, Infinity, 1]>","<[2007.0, 2008.0]>"
company_c75ee59e999f2b391dac281407f597d3,countries_152649df347ee2891a9eacc883e07d17,Undirected,577,,1.0,"<[-Infinity, Infinity, 1]>","<[2007.0, 2008.0]>"
company_bca467494ef3bd61305fe93ac4a530d4,countries_9cdc126f68260cbddf3a00a4032f0e7e,Undirected,574,,1.0,"<[-Infinity, Infinity, 2]>","<[2010.0, 2011.0]>"
company_46aad89aabd0fab06b22bf077e7546b7,countries_152649df347ee2891a9eacc883e07d17,Undirected,578,,1.0,"<[-Infinity, Infinity, 1]>","<[2008.0, 2009.0]>"
company_ea1c2e5edc234911a58aef37e73ab9ae,countries_6123486432d21179f354b970b501e518,Undirected,579,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_ea1c2e5edc234911a58aef37e73ab9ae,countries_9cdc126f68260cbddf3a00a4032f0e7e,Undirected,580,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_ea1c2e5edc234911a58aef37e73ab9ae,countries_152649df347ee2891a9eacc883e07d17,Undirected,581,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_25ae80795d9d3faa1845c725d02b6ace,countries_28ef36b35ae8cb1f542578f03408b512,Undirected,582,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
