Source,Target,Type,Id,Label,Weight,Matchings Count,Time Interval
company_ac31b142cb6d1b3a5401c0eaa50884e0,industry_8d31d9aa2193cbd93731d668fe8caadc,Undirected,1,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_30c35cfe06bad14ad455c018cda9b561,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,2,,1.0,"<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_30c35cfe06bad14ad455c018cda9b561,industry_8d31d9aa2193cbd93731d668fe8caadc,Undirected,3,,1.0,"<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_30c35cfe06bad14ad455c018cda9b561,industry_d9f9133fb120cd6096870bc2b496805b,Undirected,4,,1.0,"<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_0ef54a53ee3e0831f571604c6450f160,industry_555bf8344ca0caf09b42f55e185526d8,Undirected,5,,1.0,"<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0]>"
company_9db7fee19267c4cb827134133a0aa279,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,6,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_9faa6b81ec71807f0f721a30c0270af6,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,7,,1.0,"<[-Infinity, Infinity, 1]>","<[2008.0, 2009.0]>"
company_7fb7615d5642998c6cb42ffac705b74f,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,8,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_5839d299a90ed276d1a3252219cbaa46,industry_62933a2951ef01f4eafd9bdf4d3cd2f0,Undirected,9,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_0eced006312e6d800c4c1b120ab1559e,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,10,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_0eced006312e6d800c4c1b120ab1559e,industry_69266c67e75c946ef9b4144b0554326d,Undirected,11,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_bc84f93b2685453ccb2a68dd5f305959,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,12,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_bc84f93b2685453ccb2a68dd5f305959,industry_d9f9133fb120cd6096870bc2b496805b,Undirected,13,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_e96a479c49f59f0f9e66875d0d856ab6,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,14,,1.0,"<[-Infinity, Infinity, 4]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_e96a479c49f59f0f9e66875d0d856ab6,industry_d9f9133fb120cd6096870bc2b496805b,Undirected,15,,1.0,"<[-Infinity, Infinity, 4]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_ace85d46a737e2d9cd7b1aec9046857f,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,16,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_08b8fa182572a43e36d640f330eb72a2,industry_05e7d19a6d002118deef70d21ff4226e,Undirected,17,,1.0,"<[-Infinity, Infinity, 3]>","<[2010.0, 2011.0]>"
company_29986710f70c1937ad771480eb5e013b,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,18,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_8cb8ea7756cd964b4b544a225db2e3f7,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,19,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_70c19cfcacd242d63d015678442141c4,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,20,,1.0,"<[-Infinity, Infinity, 1]>","<[2008.0, 2009.0]>"
company_70c19cfcacd242d63d015678442141c4,industry_62506be34d574da4a0d158a67253ea99,Undirected,21,,1.0,"<[-Infinity, Infinity, 1]>","<[2008.0, 2009.0]>"
company_239cdb881d55a19c6fbbc086f86e4bcc,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,22,,1.0,"<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0]>"
company_4d1454b369b731e0b7c3774f2fa462ec,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,23,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_bcabd4a46942fa273ceba8f54f0d06b2,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,24,,1.0,"<[-Infinity, Infinity, 4]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_5607b8e8492a70474d5d350ec9f65743,industry_d9f9133fb120cd6096870bc2b496805b,Undirected,25,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_ba7dacdb8974f9e0cfb9acaed89422e9,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,26,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_26a3a8da010671f89959981d425f6cae,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,27,,1.0,"<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_c039506613a40d4c2c9f532975bc698c,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,28,,1.0,"<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0]>"
company_2d0d4809e6bdb6f4db3e547f27b1873c,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,29,,1.0,"<[-Infinity, Infinity, 6]>","<[2009.0, 2010.0]; [2011.0, 2012.0]>"
company_2d0d4809e6bdb6f4db3e547f27b1873c,industry_3338b93611000c12bea41bcd7e9ad8c1,Undirected,30,,1.0,"<[-Infinity, Infinity, 6]>","<[2009.0, 2010.0]; [2011.0, 2012.0]>"
company_2d0d4809e6bdb6f4db3e547f27b1873c,industry_d9f9133fb120cd6096870bc2b496805b,Undirected,31,,1.0,"<[-Infinity, Infinity, 6]>","<[2009.0, 2010.0]; [2011.0, 2012.0]>"
company_3ee94704da30c31f9e6f834737d27efc,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,32,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
company_46d6a2f97ca5d2111968eea25d77d3e3,industry_05e7d19a6d002118deef70d21ff4226e,Undirected,33,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_46d6a2f97ca5d2111968eea25d77d3e3,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,34,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_46d6a2f97ca5d2111968eea25d77d3e3,industry_8d31d9aa2193cbd93731d668fe8caadc,Undirected,35,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_d8d7022d67739ccea7b7eaa705d3f711,industry_05e7d19a6d002118deef70d21ff4226e,Undirected,36,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_d8d7022d67739ccea7b7eaa705d3f711,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,37,,1.0,"<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>"
company_d8d7022d67739ccea7b7eaa705d3f711,industry_69266c67e75c946ef9b4144b0554326d,Undirected,38,,1.0,"<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0]>"
company_4c6f950cbac127465aee99074983e69b,industry_57336afd1f4b40dfd9f5731e35302fe5,Undirected,39,,1.0,"<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0]>"
