Id,Label,Type,Occurrences Count,ID (type 1),Time Interval,Investments
company_ac31b142cb6d1b3a5401c0eaa50884e0,2pct,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 1]>","<[2009.0, 2010.0]>",
company_30c35cfe06bad14ad455c018cda9b561,3i,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 3]>","<[2009.0, 2010.0, 2); [2010.0, 2011.0, 3 | 4]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>",
company_0ef54a53ee3e0831f571604c6450f160,abbott laboratories,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0, 5 | 6]>","<[2009.0, 2010.0]>",
company_9db7fee19267c4cb827134133a0aa279,abn amro group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 7]>","<[2009.0, 2010.0]>",
company_9faa6b81ec71807f0f721a30c0270af6,abris cee mid-market fund,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2008.0, 2009.0, 8]>","<[2008.0, 2009.0]>",
company_7fb7615d5642998c6cb42ffac705b74f,abry,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 9]>","<[2009.0, 2010.0]>",
company_5839d299a90ed276d1a3252219cbaa46,abs - cbn,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 10]>","<[2009.0, 2010.0]>",
company_0eced006312e6d800c4c1b120ab1559e,abu dhabi investment authority,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 11]>","<[2010.0, 2011.0]>",
company_bc84f93b2685453ccb2a68dd5f305959,accent jobs,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 522]>","<[2009.0, 2010.0]>",
company_e96a479c49f59f0f9e66875d0d856ab6,accenture,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 4]>","<[2009.0, 2010.0, 12 | 13); [2010.0, 2011.0, 14 | 15]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>",
company_ace85d46a737e2d9cd7b1aec9046857f,ace group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 16]>","<[2010.0, 2011.0]>",
