2PCT,2PCT,Luxembourg;,Manufacturing
3i,3i,United Kingdom;Germany;Japan;Austria,Finance;Tech;Manufacturing
Abbott Laboratories,Abbott Laboratories,United States;,Health
ABN Amro Group,ABN Amro Group,Netherlands;,Finance
Abris Cee Mid-market Fund,Abris Capital Partners,United Kingdom (Jersey);Poland;,Finance
Abry,Abry Partners,United States;Canada,Finance
ABS - CBN,ABS - CBN Broadcasting Corporation,Philippines;Hungary,Media
Abu Dhabi Investment Authority,Abu Dhabi Investment Authority,United Arab Emirates;Spain,Travel;Finance
Accent Jobs,Accent Jobs,Belgium;Spain; France; Italy; Slovakia; Netherlands,Finance;Tech
Accenture,Accenture,Luxembourg;,Finance;Tech
ACE Group,ACE Group,Sweden;Spain;Canada;Netherlands;United States,Finance
Acergy,Acergy Group (now Subsea 7),Luxembourg;United Kingdom;Netherlands;,Energy
Advent International (ACEE4),Advent International Corporation,United States;Poland;,Finance
AEA Investors,AEA Investors,United States;,Finance
AHW,AHW Capital Management,Germany;,Finance
AIG / Lincoln,AIG,United States;Spain; Italy,Finance
AIG Global Real Estate Investment Corporation,AIG,United States;Germany,Finance
Langres Investment Limited / AIG Global Real Estate Investment (Joint Venture),AIG,Cyprus;Latvia;United States,Finance
Alexander Eriksen,Alexander Eriksen,Denmark;United Kingdom;,Tech
Alfa Group Consortium / ABH,Alfa Group Consortium,Russia;Cyprus;United Kingdom;,Finance
Rubicon Group,Allco Finance Group,Australia;Austria;Germany,Finance
Altor Equity Partners,Altor Funds,Denmark;Sweden;United Kingdom;Finland;,Finance
Altor Funds,Altor Funds,Sweden;,Finance
Amazon,Amazon,United States;Singapore;Switzerland;,Finance;Tech;Retail
AMB Property Corporation Allianz,AMB Property Corporation,United States;,Finance
Amcon International / Allied Equity / Protexa Group,Amcon Allied Equity Holdings,Mexico;United Kingdom;United States;Bahamas;Netherlands,Finance;Energy;Manufacturing
Threadneedle Asset Management,Ameriprise Financial,United Kingdom;United States; Hong Kong; Australia;Switzerland,Finance
AMP Capital Investors,AMP Capital Investors,Australia;United Kingdom;Spain;Hungary;Netherlands;,Finance;Travel;Energy
TDC A/S,Angel Lux Common / Angel Lux Parent,Denmark;United Kingdom,Tech
Aozora Bank,Aozora Bank,Japan;,Finance
Apax Funds,Apax Partners,United Kingdom;,Finance
Apax Partners,Apax Partners,United States;Sweden;United Kingdom;,Finance
Apax Partners / Guardian Media Group (Joint Venture),Apax Partners,United Kingdom;,Media;Finance
Apex Insurance Holdings,Apex Capital Management,United States;,Finance
Apollo Asia Opportunity Fund,Apollo Global Management,United States;United Kingdom;Netherlands;,Finance
Apollo Management,Apollo Global Management,United States;Germany;United Kingdom;,Finance
iTunes / Apple,Apple,United States;,Tech
Arcapita Investment Developments,Arcapita,United States;France,Finance
Arch Capital Group,Arch Capital Group,Bermuda;Ireland,Finance
Archangel Diamond Corporation,Archangel Diamond Corporation,Canada;Russia,Energy
Argan Capital Advisors,Argan Capital,United Kingdom;Sweden,Finance;Health
Arison Group,Arison Group,Israel;Switzerland;United States,Finance;Energy
Artal,Artal Group,Belgium;United States,Finance;Food
Artal Group,Artal Group,Belgium;China,Finance;Food
Invus / Artal Group,Artal Group,Israel;Bermuda;United States,Finance
Westend,Artal Group,Belgium;United States,Food
artzeversorgung Westfalen Lippe (aVWL),arztekammer Westfalen Lippe,Germany;, aVWL Real Asset Trust Holding S.à.r.l."
Versorgungswerk Der Zahnarztekammer Westfalen Lippe /  arztekammer Westfalen Lippe (Joint Venture),arztekammer Westfalen Lippe,Germany;,Finance;Health
Atomico,Atomico,United Kingdom;France,Finance;Tech
Audley Capital Management,Audley Capital Advisors,United Kingdom;Italy,Finance
Avenue Capital,Avenue Capital Group,United Kingdom;United States,Finance
Avery Dennison,Avery Dennison Corporation,United States;Netherlands,Manufacturing
AVIVA,AVIVA,United Kingdom;France,Finance
AXA Group,AXA Group,France;United States,Finance
Babcock And Brown International,Babcock & Brown,Australia;Italy;Germany;Spain;United Kingdom;Greece,Finance
Balderton Capital,Balderton Capital,United States;United Kingdom,Finance
Ball Holdings,Ball Corporation,United States;,Manufacturing
Baloise,Baloise Group,Switzerland;Germany;Belgium;France;Luxembourg;United Kingdom (Jersey),Finance
Banca Delle Marche,Banca Delle Marche Group,Italy;,Finance
Banca Popolare Dell'Emilia Romagna,Banca Popolare Dell'Emilia Romagna,Italy;Spain,Finance
Banco Bradesco,Banco Bradesco,Brazil;Argentina;Japan;United States;Cayman Islands;Bahamas;,Finance
Banco Itaú,Banco Itaú (now Itaú Unibanco),Brazil;,Finance
Banque Degroof,Banque Degroof,Belgium;Switzerland,Finance
Banque Martin Maurel,Banque Martin Maurel,France;,Finance
Baring Private Equity Asia,Baring Private Equity Asia,Hong Kong;United Kingdom;China;India;Japan;Singapore;Taiwan,Finance
Bank Fur Arbeit Und Wirtschaft Und osterreichische Postsparkasse Aktiengesellschaft (BAWAG),BAWAG,Austria;Greece; United States,Finance
Bayerische Landesbank,Bayerische Landesbank,Germany;,Finance
BAYTEX,BAYTEX Energy Corp,Canada;,Energy
BAYTEX Energy Trust,BAYTEX Energy Corp,Canada;,Energy
BC Partners,BC Partners,United Kingdom;Turkey,Finance
Belfor,Belfor,Austria;Germany;United Kingdom;United States,Finance
Next Group,Bjarne Borg,Sweden;Switzerland;Netherlands,Finance
Black & Decker,Black & Decker,United States;United Kingdom;Belgium;Ireland;Czech Republic,Manufacturing
Blackstone Group,Blackstone Group,United States;United Kingdom,Finance;Food
Bluebay,Bluebay (now Royal Bank Of Canada),United Kingdom;Canada,Finance
Bluebay European Distressed Opportunities Fund,Bluebay (now Royal Bank Of Canada),United Kingdom;Canada,Finance
Bluebay Funds,Bluebay (now Royal Bank Of Canada),United Kingdom;Canada,Finance
Bluebay High Yield Enhanced Investments,Bluebay (now Royal Bank Of Canada),United Kingdom;Canada,Finance
Bluehouse,Bluehouse,Greece;Romania; Bulgaria,Finance
Fund Channel BNP Paribas / Credit Agricole,BNP Paribas / Credit Agricole,France;Luxembourg,Finance
Bolton Group International,Bolton Group International,Luxembourg;Netherlands;France,Food;Retail;Manufacturing
Boston Consulting Group,Boston Consulting Group,United States;Germany;France,Finance
Bridgepoint,Bridgepoint,Turkey;,Finance
British American Tobacco,British American Tobacco,"United Kingdom;Belgium; France; Netherlands; Switzerland;Spain",Retail
Brookfield Asset Management,Brookfield Asset Management,Canada;,Finance
Bucher Group,Bucher Industries Group,Switzerland;,Manufacturing;Food
Burberry Group,Burberry Group,United Kingdom;Spain,Retail
Carval Investors,Cargill,United States;,Finance
Carlyle Group,Carlyle Group,United States;United Kingdom;United Kingdom (Jersey),Finance
Wall Street Institute (owned by Carlyle Group),Carlyle Group,Hungary;Portugal;United States;Spain, Luxembourg Branch"
Catalyst Funds,Catalyst Investment Managers,Australia;Sweden;New Zealand;United Kingdom (Jersey),Finance
CB Richard Ellis Investors,CB Richard Ellis Group,United States;,Finance
Centerbridge Capital Partners,Centerbridge Partners,United States;,Finance
Charterhouse Capital Partners,Charterhouse Capital Partners,United Kingdom;France;Germany,Finance
Chateau De Berne,Chateau De Berne,France;United Kingdom,Finance;Travel;Food
Cheyne Special Situations Fund,Cheyne Capital Management,Cayman Islands;Germany,Finance
China Petrochemical Corporation,China Petrochemical Corporation (Sinopec),China;Canada,Energy
China Yunnan Metallurgical Group (CYMCO),China Yunnan Metallurgical Group,China;Canada,Energy
CIRCOR,CIRCOR,United States;,Manufacturing
CITCO,CITCO,United States;,Finance
Citigroup Property Investors,Citigroup,Japan;Philippines;South Korea;Cayman Islands,Finance
Cleveland Cliffs,Cliffs Natural Resources,United States;Brazil,Manufacturing
Cliffs Natural Resources,Cliffs Natural Resources,United States;Brazil,Manufacturing
CNP Assurances,CNP Assurances,France;,Finance
Coach,Coach,United States;,Retail
Coca Cola Hellenic Bottling Company Group,Coca Cola HBC,Greece;Switzerland,Food
Colony Capital Group,Colony Capital Group,United States;Singapore;Switzerland;Germany;Cayman Islands,Travel;Finance
Commerzbank AG,Commerzbank AG,Germany;,Finance
Clownsvis,Companhia Brasileira De Distribuição,Brazil;,Food
COMPASS CC,COMPASS Group,South Africa;Germany,Finance;Food
Cordea Savills,Cordea Savills,United Kingdom;,Finance
Covidien,Covidien Group,United States;,Health;Manufacturing
Credit Suisse,Credit Suisse,Switzerland;United Kingdom,Finance
Damma Holdings,Damma Holdings,Greece;,Finance
Damovo Group,Damovo Group,United Kingdom;,Finance;Tech
Dasos Capital Oy,Dasos Capital Oy,Finland;,Finance;Energy
Global Environment Fund / Dasos Capital Oy (Joint Venture),Dasos Capital Oy,United States;Malaysia;Finland,Finance;Energy
"Dawnay, Day & Co", Day & Co.",United Kingdom;
Agemar,de Spoelberch Family,Belgium;,Food;Finance
Anheuser-Busch Inbev (AB Inbev),de Spoelberch Family,Belgium;Netherlands,Finance;Food
Dean Foods,Dean Foods,United States;Belgium;,Food
Delff Management,Delff Management,United Kingdom;France;Italy;Spain;Germany,Finance
Deutsche Bank / RREEF Global Opportunities Fund II,Deutsche Bank,Germany;,Finance
Deutsche Bank / RREEF Global Opportunity Fund III,Deutsche Bank,Germany;South Korea;Malta,Finance
Deutsche Bank Real Estate Global Opportunities IA LP,Deutsche Bank,Germany;United Kingdom;France;Malta,Finance
Deutsche Bank Real Estate Global Opportunities IB Fund,Deutsche Bank,Germany;Italy,Finance
RREEF Global Opportunities Fund II,Deutsche Bank,Italy;Germany;France;Poland;United Kingdom (Jersey);United Kingdom (Guernsey);Portugal;Netherlands;Singapore;United States,Finance
Developers Diversified Realty Corporation (now DDR Corp),Developers Diversified Realty Corporation,United States;Brazil;Portugal;Netherlands,Retail;Finance
Dexia Asset Management (now Candriam),Dexia,France;Australia;Belgium;Spain;Switzerland;Italy;Germany;Sweden;Austria;Poland;Netherlands,Finance
DNB Nor Group,DNB Nor Group,Norway;Germany;Sweden,Finance
Doughty Hanson,Doughty Hanson,United Kingdom;United States;Germany;Japan;France;Sweden;Austria,Finance
Doughty Hanson & Co European Real Estate II,Doughty Hanson,United Kingdom;,Finance
Doughty Hanson & Co IV,Doughty Hanson,United Kingdom;Italy,Finance
TMF Group,Doughty Hanson,United Kingdom;Netherlands,Finance
Draper Fisher Jurvetson (DFJ),Draper Fisher Jurvetson,United States;Denmark,Finance
DST Systems / State Street Group (Joint Venture),DST Systems,United States;,Tech;Finance
Dubai International Capital,Dubai International Capital,United Arab Emirates;Hungary,Finance
DUET,DUET Group,United Kingdom;Hong Kong;United Arab Emirates;Cayman Islands;Malta;Bermuda;Singapore,Finance
Dyson James Limited Group,Dyson,United Kingdom;,Retail
Eurobank EFG,EFG Group,Greece;Switzerland,Finance
EMULEX,EMULEX,United States;,Tech
Encore Consumer Capital,Encore Consumer Capital,United States;Canada,Finance;Food
Englefield / Redstone,Englefield Capital (now Bregal Capital),United Kingdom;Cyprus,Finance
Eon Group,Eon Group,Ireland;United Kingdom;Sweden; Germany;Malta,Energy
Powergen,Eon Group,United States;United Kingdom;Germany,Energy
EQT,EQT,Poland;United Kingdom (Guernsey);Sweden,Finance;Health
EQT / EFDO,EQT,United Kingdom (Guernsey);Switzerland,Finance
Equity Trust Group,Equity Trust (now Doughty Hanson),Netherlands;United Kingdom,Finance
ESO Master Fund I,ESO Capital Group,Cayman Islands;Germany;Belgium;Taiwan;Hong Kong;United States;Canada;Singapore;British Virgin Islands,Finance
Eurohold,Eurohold,Morocco;Kuwait;Switzerland,Finance;Travel
Curzon / European Property Investors,European Property Investors,United Kingdom;Italy,Finance
EUSA Pharma Group,EUSA Pharma (now Jazz Pharmaceuticals),United States;France;Gibraltar,Health
EVRAZ Group / EMMY,EVRAZ Group,United States;Sweden;Canada;Russia;South Africa;Czech Republic;Italy;Ukraine,Energy
Exinor,Exinor,Belgium;France; Germany;United Kingdom,Finance;Energy
Experian,Experian,Ireland;United States;United Kingdom;United Kingdom (Jersey);Netherlands;Mexico,Finance
Fairfax,Fairfax Financial Holdings,Canada;Netherlands;Switzerland;Barbados,Finance
Fairfax Financial Holding,Fairfax Financial Holdings,Canada;Netherlands,Finance
FedEx,FedEx Corp,United States;Hong Kong;Mexico,Retail
Fidelity (FIL),Fidelity,United States;Germany;Bermuda,Finance
Field Point Group,Field Point Group,United States;Japan;Germany,Finance
Financière Lafayette,Financière Lafayette,Luxembourg;Netherlands,Finance
Finmeccanica Group,Finmeccanica Group,Italy;United States;United Kingdom;Poland,Tech;Manufacturing
Fonciere De Bagan,Fonciere Inea,France,Finance
Foresight Group,Foresight Group,United Kingdom;Spain;United Kingdom (Jersey),Finance;Energy
Foster Wheeler,Foster Wheeler,United States;Bermuda;Switzerland;Gibraltar,Manufacturing
Foyer,Foyer Group,Luxembourg;Belgium;Switzerland;Spain,Finance
FREO Group,FREO Group,Germany;Netherlands,Finance
Lombard International Assurance,Friends Provident,Luxembourg;United Kingdom (Guernsey);United Kingdom;Switzerland;United Kingdom (Jersey);Belgium,Finance
Li & Fung,Fung Group,Hong Kong;United Kingdom;British Virgin Islands,Retail
Haymarket Financial / Future Fund,Future Fund,Australia;United Kingdom;Cayman Islands,Finance
LOHAN,G.J. Hannink,Netherlands;Malta,Finance
Gate Gourmet,Gategroup,United States;Switzerland,Food
Gazprom,Gazprom,Russia;Netherlands,Energy
Whatman,GE Group,United Kingdom;United States;Singapore,Health
GE Capital / Mubadala (Joint Venture),GE Group,United States;United Arab Emirates;United Kingdom;Germany;France;Italy,Finance
Gigamedia Limited Group,Gigamedia Limited Group,Singapore;France;British Virgin Islands;Hong Kong;Taiwan,Tech
Gildemeister Group,Gildemeister Group,Germany;United Kingdom;France;Netherlands,Manufacturing
Glanbia / Avonmore Cheese,Glanbia,Ireland;United States,Food
Glanbia / Avonmore Proteins,Glanbia,Ireland;United States,Food
GlaxoSmithKline,GlaxoSmithKline,United Kingdom;United States;Ireland,Health
Golden Gate Capital / GEAC Computer Corporation,Golden Gate Capital,Canada;United States;Cayman Islands;United Kingdom,Finance;Tech
Golden Gate Capital / Infineon Technologies Ag / Lantiq,Golden Gate Capital,United States;Germany,Finance;Tech
Golding Capital Partners,Golding Capital Partners,Germany;,Finance
Goodman Group,Goodman Group,Australia;Poland,Finance
Graymont Group,Graymont Group,Canada;United States;Poland, Luxembourg branch"
Great Atlantic & Pacific Tea Company,Great Atlantic & Pacific Tea Company,United States;Hungary;Bermuda,Retail;Food
Groupe Bruxelles Lambert,Groupe Bruxelles Lambert,Belgium;France;Curaçao,Finance;Travel
Natixis,Groupe Caisse D'Epargne / Groupe Banque Populaire,France;,Finance
Groupe LCF Rothschild,Groupe LCF Rothschild (now Groupe Edmond De Rothschild),Switzerland;Bahamas,Finance
Groupe Rothschild,Groupe Rothschild,France;Monaco,Finance
Sella Bank,Gruppo Banca Sella,Italy;Netherlands,Finance
Harbinger Capital Partners,Harbinger Group,United States;Canada;Vietnam;Netherlands,Finance;Tech
Hauck And Aufhauser,Hauck & Aufhauser,Germany;,Finance
Health Alliance Group,Health Alliance Group,France;,Health
Heinz,Heinz,United States;Canada;Ireland;Gibraltar,Food
Henderson Global Investors,Henderson Group,Ireland;United Kingdom;United Kingdom (Jersey),Finance
HG Capital,HG Capital,United Kingdom;Switzerland;United Kingdom (Jersey),Finance;Manufacturing
Hideal Partners,Hideal Partners,Italy;,Finance
Highland Capital Partners,Highland Capital Partners,United States;Spain,Finance;Retail
Hines,Hines,United Kingdom;United States,Finance
HNA Group,HNA Group,Hong Kong;Australia;United States;Ireland,Finance;Travel
Home Credit And Finance Bank,Home Credit Group,Russia;United Kingdom,Finance
HSBC,HSBC,United Kingdom;Spain,Finance;Energy
Huhtamaki,Huhtamaki,Finland;United States;Switzerland;Ireland;Hungary,Manufacturing;Retail
Hutchison Group,Hutchison Group,Hong Kong;,Tech
Hutchison Whampoa,Hutchison Group,Hong Kong;Austria,Finance;Tech
Hypo Real Estate Group,Hypo Real Estate Group,Germany;Ireland;Spain;Portugal,Finance
IAM,IAM,Luxembourg;Sweden,Finance
ICAP,ICAP,United Kingdom;United States;Norway, Luxembourg branch;"
Iceberg Qapital / MPG Operations,Iceberg Qapital,United States;France,Finance
IK Investment Partners,IK Investment Partners,Sweden,Finance
IK Investment Partners / Kwintet Group,IK Investment Partners,Sweden;Norway;United Kingdom (Jersey),Finance;Retail
IKEA,IKEA,Sweden;,Retail
Taylor And Francis Group / Informa,Informa,United States;United Kingdom,Media
Innisfree Fund,Innisfree Fund,United Kingdom;Canada;Sweden,Finance;Health
Intelsat Global,Intelsat,United States;United Kingdom; Brazil; Germany;Poland,Tech
Intergenia / Plusserver,Intergenia,Germany;,Tech
International Flavors & Fragrances,International Flavors & Fragrances,United States;China;Netherlands;Ireland;Gibraltar,Manufacturing;Food
Interpublic Group Of Companies,Interpublic Group Of Companies,United States;Italy;France,Media
Intesa Sanpaolo Group,Intesa Sanpaolo Group,Italy;United States,Finance
Investcorp / Barclays,Investcorp / Barclays,United Kingdom;Italy;Gibraltar;Bahrain,Food;Finance
IVG Institutional Fund,IVG Immobilien,Germany;United Kingdom;Luxembourg,Finance
J Chahine Capital,J Chahine Capital,Luxembourg;,Finance;Tech
J.C. Flowers,J.C. Flowers,United States;Netherlands,Finance
J.P. Morgan European Property Fund,J.P. Morgan,United States;United Kingdom,Finance
Jardine Matheson Group,Jardine Matheson Group,Hong Kong;United Kingdom; Singapore; Netherlands,Finance
JER Partners,JER Partners,United States;Germany;Turkey,Finance
Jones Lang Lasalle,Jones Lang Lasalle,United States;Japan;United Kingdom,Finance
Lasalle Investment Management,Jones Lang Lasalle,Japan;United States,Finance
Julius Baer Group,Julius Baer Group,Switzerland;Luxembourg,Finance
Kaupthing Bank,Kaupthing Bank,Iceland;,Finance
R.E. International,KBL Lombard International Assurance,Luxembourg;Portugal;Italy,Finance
King Street Capital Management,King Street Capital Management,United States;British Virgin Islands,Finance
Extrom / Knight Business,Knight Business,China;Mongolia;United States;Canada;France;United Kingdom;Bangladesh,Finance;Energy
Koch Industries,Koch Industries,United States;United Kingdom;Germany;Switzerland;Netherlands;Portugal;Mexico,Manufacturing;Energy;Finance
Kohler,Kohler,United States;British Virgin Islands;France,Manufacturing;Retail
Landesbank Baden-Wurttemberg (LBBW),Landesbank Baden-Wurttemberg,Germany;,Finance
Lehman Brothers Real Estate Fund,Lehman Brothers,United States;Germany;Bermuda,Finance
Lewis Trust Group,LFH International,United Kingdom;United Kingdom (Jersey);Netherlands,Retail;Travel;Finance
Lhoist,Lhoist,Belgium;Hong Kong;Cyprus,Energy;Manufacturing
Li Family Trusts,Li Family Trusts,Canada;Hong Kong;Barbados,Finance
Lion Capital,Lion Capital,United Kingdom;Sweden;Cayman Islands;United Kingdom (Guernsey);United Kingdom (Jersey),Finance;Food
Ian Livingstone / Richard Livingstone,Livingstone Brothers,United Kingdom;Ireland,Finance
Lombard Odier Darier Hentsch & Cie,Lombard Odier,Switzerland;Bermuda,Finance
Lubrizol,Lubrizol (now Berkshire Hathaway),Belgium;Gibraltar;United States,Manufacturing
LVMH Moët Hennessy Louis Vuitton,LVMH Moët Hennessy Louis Vuitton,France;,Retail;Food
Macquarie Global Property Advisors,Macquarie Group,Australia;Bermuda;United States;Canada,Finance
Mark IV Industries,Mark IV Industries,United States;,Manufacturing
Maus Freres,Maus Freres,Switzerland;Austria;United Kingdom;Germany;France;Italy;Portugal;Spain;Sweden,Retail
McGraw-Hill / Standard & Poors (now McGraw Hill Financial),McGraw-Hill Companies,United States;Spain;Germany;France;Sweden;Italy;United Kingdom;Cayman Islands;Ireland,Finance;Media
Mercapital,Mercapital (now N+1 Group),Spain;United States;Netherlands;United Kingdom (Jersey),Finance
Merrill Lynch,Merrill Lynch,United States;Turkey;United Kingdom (Jersey),Finance
Merrill Lynch / SATPO Group (Joint Venture),Merrill Lynch,United States;Czech Republic;Slovakia;Netherlands,Finance
METTLER-TOLEDO,METTLER-TOLEDO,United States;Switzerland;Gibraltar,Manufacturing
Meyer Bergman,Meyer Bergman,United Kingdom;United States;Cyprus,Finance
Millipore,Millipore,United States;Netherlands;United Kingdom;Ireland;Bermuda,Health
Montagu,Montagu,United Kingdom;Germany,Finance;Tech
Moorfield Group,Moorfield Group,United Kingdom;,Finance
MYLAN,MYLAN,United States;Ireland;Bermuda;Gibraltar,Health
Nc2 Global,Navistar / Caterpillar,United States;Brazil;Australia;South Africa;Gibraltar,Manufacturing
Pentex Investments,New Gulf Engineering,United Arab Emirates;Australia;Marshall Islands;Netherlands,Finance;Manufacturing
Nikko Cordial Securities,Nikko Cordial Securities (now SMBC Nikko Securities),Japan;,Finance
Nippon Sheet Glass Group (NSG),Nippon Sheet Glass,Japan;Australia;United Kingdom;Belgium;Italy;Germany;United Kingdom (Guernsey),Manufacturing
Nordic Capital,Nordic Capital,Sweden;United Kingdom (Jersey),Finance;Retail
